85,1,1,0
85,2,1,0
85,3,1,0
85,4,1,0
150,2,1,0
150,3,1,0
160,2,1,0
160,3,1,0
210,3,1,0
220,4,1,0
235,1,1,0
250,2,1,0
250,3,1,0
285,1,1,0
285,2,1,0
285,3,1,0
285,4,1,0
320,4,1,0
330,1,1,0
330,2,1,0
330,3,1,0
330,4,1,0
360,1,1,0
360,2,1,0
360,3,1,0
360,4,1,0
380,2,1,0
385,3,1,0
395,3,1,0
400,2,1,0
410,4,1,0
420,1,1,0
425,2,1,0
430,1,1,0
435,2,1,0
440,1,1,0
445,2,1,0
450,1,1,0
455,2,1,0
460,1,1,0
465,2,1,0
470,1,1,0
475,2,1,0
480,1,1,0
485,2,1,0
490,4,1,0
490,1,1,0
495,2,1,0
500,4,1,0
500,1,1,0
505,2,1,0
510,1,1,0
515,2,1,0
520,1,1,0
525,2,1,0
530,1,1,0
535,2,1,0
540,1,1,0
545,2,1,0
550,4,1,0
550,1,1,0
555,2,1,0
560,1,1,0
565,2,1,0
570,4,1,0
570,1,1,0
575,2,1,0
580,1,1,0
585,2,1,0
580,4,1,0
590,1,1,0
595,2,1,0
600,1,1,0
605,2,1,0
590,4,1,0
610,1,1,0
615,2,1,0
620,1,1,0
625,2,1,0
630,1,1,0
635,2,1,0
630,4,1,0
640,1,1,0
645,2,1,0
650,1,1,0
655,2,1,0
660,1,1,0
665,2,1,0
670,1,1,0
675,2,1,0
680,1,1,0
685,2,1,0
690,1,1,0
695,2,1,0
700,1,1,0
705,2,1,0
710,1,1,0
715,2,1,0
720,1,1,0
725,2,1,0
730,1,1,0
735,2,1,0
740,1,1,0
745,2,1,0
750,1,1,0
755,2,1,0
760,1,1,0
765,2,1,0
